Course,Room,Day,Period,Timeslot
103,26,0,3,3
287,48,1,4,13
24,60,0,1,1
320,17,4,4,40
85,39,2,8,26
87,79,0,6,6
353,14,0,8,8
48,60,1,2,11
160,78,2,3,21
379,71,2,6,24
89,78,3,2,29
293,53,3,3,30
36,60,4,1,37
108,68,0,0,0
200,48,0,6,6
95,70,2,5,23
175,3,1,6,15
50,52,1,6,15
119,52,1,5,14
76,39,2,6,24
327,18,4,0,36
378,35,0,2,2
317,70,0,1,1
310,67,1,7,16
53,15,1,3,12
365,22,3,5,32
340,23,2,1,19
341,41,3,6,33
176,74,2,0,18
346,33,3,3,30
357,64,4,3,39
28,37,3,7,34
255,45,0,6,6
162,71,1,7,16
371,18,4,6,42
221,71,1,3,12
101,45,2,5,23
332,51,2,5,23
351,46,1,1,10
143,33,3,0,27
242,47,3,2,29
304,50,1,0,9
117,74,1,3,12
213,20,0,0,0
364,68,3,7,34
41,57,3,3,30
291,71,2,5,23
322,70,1,5,14
258,50,3,8,35
3,3,0,7,7
78,73,4,0,36
179,4,1,8,17
262,39,0,1,1
368,64,4,4,40
288,4,4,3,39
211,4,4,7,43
137,49,2,3,21
139,56,3,1,28
110,62,1,1,10
239,46,4,0,36
308,8,0,1,1
40,66,1,4,13
324,8,0,2,2
135,28,0,1,1
203,8,4,0,36
313,21,2,1,19
263,5,2,8,26
272,4,0,5,5
334,79,1,2,11
194,76,2,2,20
202,38,0,7,7
212,14,4,7,43
90,17,1,8,17
249,24,4,7,43
129,62,3,5,32
198,38,4,8,44
21,76,2,6,24
191,74,1,7,16
237,67,2,4,22
74,25,1,0,9
323,7,1,2,11
145,61,2,7,25
268,34,3,6,33
223,26,2,1,19
246,23,4,8,44
52,2,1,5,14
15,46,3,0,27
138,20,1,0,9
244,1,3,0,27
104,0,0,0,0
30,17,4,4,40
152,17,3,1,28
330,77,1,4,13
230,36,4,1,37
241,78,3,5,32
298,26,2,4,22
366,24,3,1,28
121,75,1,4,13
260,10,1,8,17
167,71,4,4,40
326,62,3,7,34
397,76,0,0,0
86,38,0,1,1
208,38,2,0,18
125,78,4,8,44
363,2,4,8,44
307,40,4,8,44
372,0,0,2,2
286,79,3,2,29
270,63,4,4,40
354,57,4,0,36
