id,lecturer,duration,groups
131,2,1,"63;64;119"
132,22,1,"38"
133,39,1,"0;63;118"
134,25,1,"24"
135,20,1,"34"
136,73,1,"67"
137,21,1,"82;126"
138,45,1,"14;18"
139,20,1,"40;102;104"
140,10,1,"29;100;116"
141,51,1,"80;104;119"
142,79,1,"40;72"
143,9,1,"52;77;92"
144,10,1,"25"
145,49,1,"58"
146,15,1,"100"
147,14,1,"112"
148,38,1,"29"
149,0,1,"39;110;122"
150,44,1,"60;86"
151,62,1,"65"
152,44,1,"122"
153,49,1,"92"
154,40,1,"70"
155,21,1,"51;63;110"
156,29,1,"45;115"
157,68,1,"30"
158,45,1,"1;25;107"
159,61,1,"25;102"
160,5,1,"34;82;112"
161,12,1,"17;22"
162,2,1,"101"
163,74,1,"0"
164,76,1,"114"
165,45,1,"6;111"
166,21,1,"38;100"
167,21,1,"5;37"
168,13,1,"36"
169,56,1,"55;118"
170,31,1,"5;58;112"
171,16,1,"25;95"
172,9,1,"110"
173,69,1,"122;124"
174,25,1,"57;67"
175,79,1,"51;79;117"
176,43,1,"66"
177,8,1,"100;103"
178,0,1,"8;26;124"
179,63,1,"40"
180,74,1,"127"
181,45,1,"3;80"
182,76,1,"74;113"
183,20,1,"104;105"
184,68,1,"41;56;84"
185,77,1,"36;60;124"
186,10,1,"121"
187,5,1,"48"
188,70,1,"103"
189,31,1,"12"
190,23,1,"116"
191,61,1,"59;67;122"
192,60,1,"83"
193,44,1,"0;39"
194,59,1,"1"
195,43,1,"31;37"
196,35,1,"25;68;77"
197,13,1,"79;80"
198,48,1,"90;100"
199,65,1,"7;27;100"
200,35,1,"73;112"
201,46,1,"24;29;81"
202,1,1,"18;104"
203,46,1,"30;104"
204,37,1,"113"
205,26,1,"5;125"
206,46,1,"32;77"
207,58,1,"96"
208,23,1,"18;101"
209,48,1,"7;71;126"
210,44,1,"82;101"
211,55,1,"101;125"
212,63,1,"17;40;73"
213,32,1,"10;31;63"
214,79,1,"114"
215,4,1,"24;119"
216,56,1,"15;87;90"
217,19,1,"29;46;126"
218,75,1,"2;49;73"
219,36,1,"22;47;79"
220,22,1,"28;47;121"
221,57,1,"100;124"
222,11,1,"68;92"
223,33,1,"21;46"
224,29,1,"70;110"
225,71,1,"62"
226,69,1,"33"
227,11,1,"74;90"
228,56,1,"45;90;101"
229,74,1,"43"
230,7,1,"0;18;121"
231,62,1,"30"
232,1,1,"25;76;92"
233,74,1,"37;101"
234,71,1,"70;115;125"
235,72,1,"91"
236,35,1,"124"
237,12,1,"20;36;37"
238,19,1,"50"
239,70,1,"40"
240,15,1,"116"
241,7,1,"1;46;67"
242,22,1,"39;77"
243,26,1,"21;65;106"
244,52,1,"25;47"
245,73,1,"42"
246,54,1,"21;108"
247,54,1,"6;126"
248,32,1,"110;117"
249,6,1,"40;45;67"
250,21,1,"126"
251,59,1,"58;84"
252,34,1,"60"
253,20,1,"9;51"
254,33,1,"65;103"
255,64,1,"45;111"
256,43,1,"97;111;126"
257,15,1,"38;43;115"
258,25,1,"37;66;105"
259,7,1,"18;38;101"
260,2,1,"82"
261,72,1,"27;113"
262,25,1,"117"
263,74,1,"16;126"
264,5,1,"15"
265,38,1,"5"
266,17,1,"47;123"
267,76,1,"98"
268,26,1,"79;85;111"
269,65,1,"116"
270,36,1,"12;52;119"
271,21,1,"57;65;87"
272,46,1,"96"
273,60,1,"39;47;76"
274,21,1,"0;7;34"
275,53,1,"11;36;79"
276,2,1,"5;82"
277,40,1,"33;58;86"
278,28,1,"29;117"
279,77,1,"41"
280,74,1,"10;68;104"
281,0,1,"17;81;94"
282,60,1,"83;122;127"
283,68,1,"21;42;70"
284,10,1,"6;95"
285,55,1,"43"
286,8,1,"49"
287,28,1,"28;54;78"
288,22,1,"26"
289,69,1,"42;112"
290,55,1,"3;44;127"
291,27,1,"25"
292,49,1,"61;81"
293,39,1,"114"
294,65,1,"65"
295,65,1,"43;125"
296,9,1,"95"
297,50,1,"115"
298,73,1,"50"
299,43,1,"13"
300,50,1,"40;66"
301,19,1,"64"
302,33,1,"29;116"
303,6,1,"16;72;109"
304,35,1,"19;74;112"
305,14,1,"9;113"
306,67,1,"32;108;119"
307,5,1,"12;16"
308,24,1,"87;123"
309,28,1,"38;62"
310,46,1,"84"
311,63,1,"64"
312,63,1,"117;123"
313,12,1,"106"
314,43,1,"13;19"
315,60,1,"54;121"
316,27,1,"8;63;114"
317,15,1,"71;88;97"
318,10,1,"13;70;81"
319,68,1,"96"
320,76,1,"63;89;112"
321,18,1,"42"
322,22,1,"67;118"
323,69,1,"70;75"
324,58,1,"48;76"
325,9,1,"79;121"
326,28,1,"1;41;56"
327,50,1,"29;120;124"
328,11,1,"45"
329,51,1,"30"
330,56,1,"28;74"
331,58,1,"27;105"
332,34,1,"36;108"
333,25,1,"29;80;111"
334,23,1,"44"
335,23,1,"1;122"
336,77,1,"4;52;111"
337,9,1,"26;112"
338,34,1,"62"
339,59,1,"37;67"
340,41,1,"66;91;121"
341,41,1,"8;103"
342,46,1,"31"
343,23,1,"42"
344,24,1,"86;95"
345,5,1,"96"
346,49,1,"38;39;113"
347,6,1,"79;104"
348,30,1,"27;67"
349,0,1,"79"
350,57,1,"20"
351,15,1,"108"
352,67,1,"22;41;116"
353,9,1,"28;98;123"
354,38,1,"9"
355,75,1,"79;101"
356,7,1,"75;85;89"
357,61,1,"27;104;109"
358,38,1,"8;18;59"
359,33,1,"89;91"
360,69,1,"1;105"
361,1,1,"59"
362,46,1,"68;75"
363,50,1,"76;88;115"
364,26,1,"24;53;56"
365,4,1,"58;95;100"
366,3,1,"18;75"
367,42,1,"12"
368,47,1,"66;100;105"
369,56,1,"18;31"
370,26,1,"116"
371,1,1,"42;116"
372,7,1,"47;66"
373,15,1,"70;80;93"
374,27,1,"17;76;101"
375,61,1,"12;17"
376,32,1,"19;65;96"
377,76,1,"23;44;65"
378,46,1,"44;120"
379,42,1,"56;109"
380,60,1,"52"
381,43,1,"94;99"
382,9,1,"23;63;76"
383,48,1,"21;35;51"
384,60,1,"12;18;59"
385,43,1,"92"
386,38,1,"64"
387,4,1,"70;95"
388,53,1,"62"
389,58,1,"11;22"
390,61,1,"12"
391,26,1,"124;125"
392,8,1,"63;89;116"
393,24,1,"91"
394,13,1,"39;54"
395,17,1,"26;35;91"
396,29,1,"67;113"
397,42,1,"122"
398,0,1,"112"
399,10,1,"36;48;80"
